Stock_type,Title,Mileage,Price,Price_drop,car_battery,Dealer_Name,Location
,Used 2016 Tesla Model S 85,"88,871 mi.","$22,800",$700 price drop,EV Battery Rating | Excellent,Sunrise Ford of Fontana,"Fontana, CA"
,Used 2016 Tesla Model S P100D,"49,685 mi.","$38,450",,EV Battery Rating | Excellent,NextGear Motors,"Raleigh, NC"
,Used 2015 Tesla Model S P85D,"146,663 mi.","$23,995",,EV Battery Rating | Excellent,Brown & Brown Wholesale,"Mesa, AZ"
,Used 2017 Tesla Model X 100D,"79,892 mi.","$32,888","$2,607 price drop",EV Battery Rating | Excellent,Star Motor Sales,"Downers Grove, IL"
,Used 2022 Tesla Model 3 Performance,"26,400 mi.","$42,900",,,,"Horseheads, NY"
,Used 2023 Tesla Model 3 Base,"8,478 mi.","$31,500",,,,"Albuquerque, NM"
,Used 2016 Tesla Model X 90D,"65,152 mi.","$74,480",,EV Battery Rating | Excellent,Yalcars,"Austintown, OH"
,Used 2020 Tesla Model 3 Long Range,"33,000 mi.","$36,000",,,,"Livermore, CA"
,Used 2022 Tesla Model 3 Performance,"32,747 mi.","$34,999",,,,"Montrose, CO"
,Used 2020 Tesla Model S Long Range Plus,"87,000 mi.","$36,900",,,,"Somerset, NJ"
,Used 2020 Tesla Model 3 Standard Range Plus,"99,000 mi.","$19,300",,,,"Louisville, KY"
,Used 2015 Tesla Model S P90D,"39,500 mi.","$29,500",,,,"Hillsborough, NJ"
,Used 2020 Tesla Model 3 Standard Range Plus,"47,927 mi.","$22,500",,,,"Seattle, WA"
,Used 2018 Tesla Model X 75D,"67,000 mi.","$41,500",,,,"Saint Johns, FL"
,Used 2020 Tesla Model X Performance,"22,999 mi.","$59,900",,,,"Jacksonville Beach, FL"
,Used 2019 Tesla Model 3 Long Range,"38,000 mi.","$27,000",,,,"Miami, FL"
,Used 2018 Tesla Model X 100D,"60,000 mi.","$46,000",,,,"Savannah, GA"
,Used 2017 Tesla Model S 75D,"43,410 mi.","$27,680",,EV Battery Rating | Excellent,Definitive Motors,"Bellevue, WA"
,Used 2021 Tesla Model 3 Standard Range Plus,"56,276 mi.","$22,850","$1,828 price drop",EV Battery Rating | Excellent,LA City Cars,"Inglewood, CA"
,Used 2019 Tesla Model 3 Standard Range Plus,"103,575 mi.","$22,777",$214 price drop,EV Battery Rating | Excellent,Denali Motors,"Addison, IL"
,Used 2020 Tesla Model 3 Standard Range Plus,"36,679 mi.","$30,000",,,,"Chicago, IL"
,Used 2015 Tesla Model S P85D,"186,000 mi.","$18,000",,,,"Salinas, CA"
,Used 2018 Tesla Model X 75D,"77,985 mi.","$31,998",,EV Battery Rating | Excellent,Yc Auto group,"Pittsburg, CA"
,Used 2022 Tesla Model 3 Long Range,"46,047 mi.","$29,500",,,,"Cypress, TX"
,Used 2013 Tesla Model S Performance,"34,586 mi.","$23,988",,EV Battery Rating | Excellent,Auto Web Expo,"Plano, TX"
,Used 2019 Tesla Model 3 Performance,"19,343 mi.","$30,995",,EV Battery Rating | Excellent,AutoNation Hyundai Carlsbad,"Carlsbad, CA"
,Used 2022 Tesla Model S Plaid,"7,800 mi.","$82,900",,,,"Bonita Springs, FL"
,Used 2016 Tesla Model X 90D,"126,775 mi.","$28,995",,EV Battery Rating | Excellent,AutoNation Nissan Chandler,"Chandler, AZ"
,Used 2022 Tesla Model 3 Standard Range,"68,913 mi.","$24,988",,EV Battery Rating | Excellent,Auto Web Expo,"Plano, TX"
,Used 2019 Tesla Model 3 Standard Range Plus,"80,063 mi.","$19,977",,EV Battery Rating | Excellent,VL Auto 777,"Midway City, CA"
,Used 2017 Tesla Model S 90D,"27,500 mi.","$37,500",,,,"North Grafton, MA"
,Used 2019 Tesla Model 3 Performance,"50,500 mi.","$32,500",,,,"Elkridge, MD"
,Used 2019 Tesla Model 3 Long Range,"51,046 mi.","$28,999",,EV Battery Rating | Excellent,VIP Auto Outlet - Southampton,"Southampton Township, NJ"
,Used 2016 Tesla Model X 90D,"117,136 mi.","$26,995",,EV Battery Rating | Excellent,Auto Union Inc. of Lebanon,"Lebanon, TN"
,Used 2016 Tesla Model X 90D,"89,048 mi.","$30,995","$1,000 price drop",EV Battery Rating | Excellent,Auto Union Inc. of Lebanon,"Lebanon, TN"
,Used 2013 Tesla Model S Base,"59,918 mi.","$12,500",,,Alpha Motorsports Fredericksburg,"Fredericksburg, VA"
,Used 2016 Tesla Model S 75D,"84,250 mi.","$22,000",,,,"Culver City, CA"
,Used 2020 Tesla Model 3 Standard Range,"78,150 mi.","$20,998",,EV Battery Rating | Excellent,Price Pro,"Maumee, OH"
,Used 2022 Tesla Model 3 Base,"10,323 mi.","$29,500",,,,"Cary, NC"
,Used 2019 Tesla Model S P100D,"58,500 mi.","$42,500",,,,"Edmond, OK"
,Used 2022 Tesla Model 3 Standard Range,"65,951 mi.","$24,988",,EV Battery Rating | Excellent,Auto Web Expo,"Plano, TX"
,Used 2018 Tesla Model 3 Performance,"53,448 mi.","$28,889",,EV Battery Rating | Excellent,Auto Web Expo,"Plano, TX"
,Used 2020 Tesla Model 3 Standard Range Plus,"40,074 mi.","$26,430",,EV Battery Rating | Excellent,Auto Web Expo,"Plano, TX"
,Used 2020 Tesla Model 3 Standard Range,"29,125 mi.","$19,505","$2,611 price drop",EV Battery Rating | Excellent,JD Motors,"Elizabeth, NJ"
,Used 2018 Tesla Model S 100D,"77,790 mi.","$42,991","$2,000 price drop",EV Battery Rating | Good,APX Auto Brokers,"Edmonds, WA"
,Used 2019 Tesla Model 3 Long Range,"129,565 mi.","$18,998",,EV Battery Rating | Excellent,Price Pro,"Maumee, OH"
,Used 2019 Tesla Model X Long Range,"8,006 mi.","$50,000",,,,"Northridge, CA"
,Used 2022 Tesla Model 3 Standard Range Plus,"75,047 mi.","$24,495",,EV Battery Rating | Excellent,Brown & Brown Wholesale,"Mesa, AZ"
,Used 2017 Tesla Model X 100D,"73,385 mi.","$37,320",,EV Battery Rating | Excellent,LA City Cars,"Inglewood, CA"
,Used 2019 Tesla Model 3 Long Range,"57,556 mi.","$26,990",,EV Battery Rating | Excellent,Auto Merchants Inc.,"Plano, TX"
,Used 2021 Tesla Model 3 Long Range,"37,000 mi.","$33,000",,,,"Sterling, CO"
,Used 2022 Tesla Model 3 Base,"48,583 mi.","$24,888",,EV Battery Rating | Excellent,Central Autohaus,"Dallas, TX"
,Used 2018 Tesla Model S 100D,"24,553 mi.","$35,800",,EV Battery Rating | Excellent,Guaranteed Motor Cars,"palos hills, IL"
,Used 2017 Tesla Model S 60D,"45,391 mi.","$34,900",,,,"Roswell, GA"
,Used 2021 Tesla Model 3 Long Range,"19,673 mi.","$31,225",$552 price drop,EV Battery Rating | Excellent,Star Motor Sales,"Downers Grove, IL"
,Used 2012 Tesla Model S Signature,"75,570 mi.","$20,995",,EV Battery Rating | Excellent,Desert Auto Sales,"Las Vegas, NV"
,Used 2018 Tesla Model S 100D,"59,030 mi.","$31,204",,EV Battery Rating | Good,Where Luxury Meets,"Elizabeth, NJ"
,Used 2022 Tesla Model 3 Base,"47,740 mi.","$24,888",,EV Battery Rating | Excellent,Central Autohaus,"Dallas, TX"
,Used 2022 Tesla Model 3 Base,"38,578 mi.","$24,499",$401 price drop,EV Battery Rating | Excellent,Hanna Cars,"Bradenton, FL"
,Used 2019 Tesla Model 3 Long Range,"47,600 mi.","$26,260",,,,"Decatur, GA"
,Used 2023 Tesla Model 3 Standard Range,"44,173 mi.","$25,999",,EV Battery Rating | Excellent,LA City Cars,"Inglewood, CA"
,Used 2023 Tesla Model 3 Long Range,"5,312 mi.","$38,779","$1,216 price drop",EV Battery Rating | Excellent,AutoNation Nissan Chandler,"Chandler, AZ"
,New 2023 Tesla Model 3 Rear-Wheel Drive,,"$37,790",,,Tesla,"Rocklin, CA"
,Used 2018 Tesla Model 3 Mid Range,"101,000 mi.","$17,900",,,,"Oswego, IL"
,Used 2019 Tesla Model 3 Long Range,"40,490 mi.","$25,489",,EV Battery Rating | Good,Atlanta Used Cars of Lilburn,"Lilburn, GA"
,Used 2016 Tesla Model S 90D,"68,013 mi.","$27,500","$1,000 price drop",EV Battery Rating | Excellent,Auto City,"El Cajon, CA"
,Used 2015 Tesla Model S 90D,"63,511 mi.","$27,990",,EV Battery Rating | Excellent,VDubs Only,"Dallas, TX"
,Used 2014 Tesla Model S Base,"166,036 mi.","$13,990",,EV Battery Rating | Excellent,NextGear Motors,"Raleigh, NC"
,Used 2015 Tesla Model S 85D,"118,822 mi.","$19,995",,EV Battery Rating | Excellent,Brown & Brown Wholesale,"Mesa, AZ"
,Used 2019 Tesla Model 3 Long Range,"38,500 mi.","$27,000",,,,"Highland Park, IL"
,Used 2018 Tesla Model X 75D,"76,339 mi.","$34,999",,,,"Trabuco Canyon, CA"
,Used 2021 Tesla Model 3 Long Range,"15,895 mi.","$36,500",,EV Battery Rating | Excellent,,"New Rochelle, NY"
,Used 2019 Tesla Model S 100D,"30,155 mi.","$43,795","$3,200 price drop",EV Battery Rating | Excellent,Carmart,"Manassas, VA"
,Used 2015 Tesla Model S 85D,"62,070 mi.","$22,289","$1,200 price drop",EV Battery Rating | Excellent,Atlanta Used Cars of Lilburn,"Lilburn, GA"
,Used 2020 Tesla Model 3 Standard Range Plus,"37,273 mi.","$24,990",,EV Battery Rating | Excellent,NextGear Motors,"Raleigh, NC"
,Used 2013 Tesla Model S Performance,"106,394 mi.","$17,998",,EV Battery Rating | Good,BG Motorcars,"Naperville, IL"
,Used 2014 Tesla Model S Performance,"68,830 mi.","$23,995",,EV Battery Rating | Excellent,LA City Cars,"Inglewood, CA"
,Used 2014 Tesla Model S 85,"160,000 mi.","$15,995",,,,"Cold Spring Harbor, NY"
,Used 2016 Tesla Model S 90D,"86,840 mi.","$27,000",,,,"Richmond, TX"
,Used 2015 Tesla Model S 85D,"130,080 mi.","$19,777",,EV Battery Rating | Good,VL Auto 777,"Midway City, CA"
,Used 2021 Tesla Model 3 Standard Range Plus,"50,016 mi.","$23,915",,EV Battery Rating | Excellent,LA City Cars,"Inglewood, CA"
,Used 2022 Tesla Model S Long Range,"28,770 mi.","$62,499",,,,"Franklin, TN"
,Used 2016 Tesla Model S P100D,"47,900 mi.","$38,950",,,,"Phoenix, AZ"
,Used 2023 Tesla Model 3 Base,"4,000 mi.","$32,900",,,,"Cedar City, UT"
,Used 2019 Tesla Model S 100D,"37,247 mi.","$36,500",,EV Battery Rating | Excellent,Alpha Motorsports Fredericksburg,"Fredericksburg, VA"
,Used 2019 Tesla Model S Long Range,"49,000 mi.","$47,999",,,,"Rochester, MI"
,Used 2016 Tesla Model X P90D,"82,376 mi.","$33,495",,EV Battery Rating | Excellent,Asay Auto,"Lindon, UT"
,Used 2022 Tesla Model 3 Long Range,"27,000 mi.","$33,998",,,,"Irvine, CA"
,Used 2016 Tesla Model S 75,"78,642 mi.","$25,000",,,,"Atlanta, GA"
,Used 2018 Tesla Model S 100D,"42,441 mi.","$33,000","$2,000 price drop",EV Battery Rating | Good,Alpha Motorsports Fredericksburg,"Fredericksburg, VA"
,Used 2020 Tesla Model 3 Performance,"13,504 mi.","$34,900",,EV Battery Rating | Excellent,Auto City,"El Cajon, CA"
Used,2014 Tesla Model S Performance,"23,825 mi.","$37,995",,EV Battery Rating | Excellent,Alpine Motors Certified Preowned,"Wantagh, NY"
Used,2021 Tesla Model 3 Long Range,"73,217 mi.","$26,490",,EV Battery Rating | Excellent,Guaranteed Motor Cars,"palos hills, IL"
Used,2016 Tesla Model X 90D,"70,758 mi.","$27,995",,EV Battery Rating | Excellent,Bristol Auto Mall,"Levittown, PA"
Used,2019 Tesla Model 3 Long Range,"70,609 mi.","$26,900",,,,"Denver, CO"
Used,2020 Tesla Model 3 Standard Range Plus,"39,270 mi.","$25,990",,EV Battery Rating | Excellent,NextGear Motors,"Raleigh, NC"
Used,2019 Tesla Model 3 Long Range,"61,122 mi.","$25,987",$790 price drop,EV Battery Rating | Excellent,Star Motor Sales,"Downers Grove, IL"
Used,2013 Tesla Model S Performance,"90,000 mi.","$24,998","$3,000 price drop",EV Battery Rating | Excellent,Empire Motors Inc,"Raleigh, NC"
Used,2021 Tesla Model X Long Range Plus,"48,898 mi.","$49,999",,EV Battery Rating | Excellent,OC Chief Auto,"Newport Beach, CA"
Used,2018 Tesla Model 3 Long Range,"75,000 mi.","$18,000",,,,"La Mirada, CA"
Used,2019 Tesla Model 3 Long Range,"27,106 mi.","$29,555",$432 price drop,EV Battery Rating | Excellent,Star Motor Sales,"Downers Grove, IL"
Used,2021 Tesla Model 3 Standard Range Plus,"33,147 mi.","$24,900",,,,"Collegeville, PA"
Used,2021 Tesla Model 3 Standard Range Plus,"42,044 mi.","$27,995",$505 price drop,EV Battery Rating | Excellent,Nissan of Elk Grove,"Elk Grove, CA"
Used,2020 Tesla Model 3 Standard Range Plus,"51,558 mi.","$24,990",,EV Battery Rating | Excellent,NextGear Motors,"Raleigh, NC"
Used,2021 Tesla Model 3 Long Range,"40,052 mi.","$30,888",,EV Battery Rating | Excellent,Perry Chrysler Dodge Jeep Ram,"National City, CA"
Used,2016 Tesla Model X P90D,"38,114 mi.","$37,990",,EV Battery Rating | Excellent,NextGear Motors,"Raleigh, NC"
Used,2021 Tesla Model X Long Range Plus,"48,095 mi.","$46,999",,EV Battery Rating | Excellent,OC Chief Auto,"Newport Beach, CA"
Used,2021 Tesla Model 3 Long Range,"37,831 mi.","$30,995",,EV Battery Rating | Excellent,Brown & Brown Wholesale,"Mesa, AZ"
Used,2021 Tesla Model 3 Long Range,"100,770 mi.","$22,997",,EV Battery Rating | Excellent,ICARS of Orlando,"Ocoee, FL"
Used,2015 Tesla Model S,"80,113 mi.","$22,585",$400 price drop,EV Battery Rating | Excellent,Precise Motors LLC,"South Bloomfield, OH"
Used,2021 Tesla Model 3 Standard Range Plus,"71,321 mi.","$18,691",,EV Battery Rating | Excellent,Car Factory Outlet West Palm,"Lake Worth, FL"
Used,2019 Tesla Model 3 Performance,"45,416 mi.","$32,995",,EV Battery Rating | Excellent,United Motors LLC,"Saint Francis, WI"
Used,2022 Tesla Model 3 Long Range,"29,000 mi.","$32,990",,,,"Sugar Land, TX"
Used,2021 Tesla Model 3 Long Range,"42,453 mi.","$29,987",$790 price drop,EV Battery Rating | Excellent,Star Motor Sales,"Downers Grove, IL"
Used,2019 Tesla Model 3 Standard Range Plus,"104,633 mi.","$18,500",,EV Battery Rating | Excellent,Price Pro,"Maumee, OH"
Used,2019 Tesla Model 3 Standard Range Plus,"51,672 mi.","$22,499","$3,500 price drop",EV Battery Rating | Excellent,AX Auto Inc.,"Atlanta, GA"
Used,2021 Tesla Model 3 Standard Range Plus,"42,800 mi.",Not Priced,,EV Battery Rating | Excellent,LA City Cars,"Inglewood, CA"
Used,2014 Tesla Model S Base,"93,158 mi.",Not Priced,,EV Battery Rating | Excellent,LA City Cars,"Inglewood, CA"
Used,2013 Tesla Model S Performance,"85,193 mi.",Not Priced,,EV Battery Rating | Excellent,LA City Cars,"Inglewood, CA"
Used,2023 Tesla Model 3 Base,"2,255 mi.","$37,999",,,,"Jersey City, NJ"
Used,2022 Tesla Model 3 Long Range,"55,019 mi.","$32,888",,EV Battery Rating | Excellent,Hertz Car Sales San Antonio North East,"Live Oak, TX"
Used,2021 Tesla Model 3 Performance,"52,991 mi.","$56,000",,,,"Cloquet, MN"
Used,2023 Tesla Model 3 Base,"4,000 mi.","$31,900",,,,"Raleigh, NC"
Used,2018 Tesla Model 3 Performance,"102,000 mi.","$24,000",,,,"Altoona, IA"
Used,2023 Tesla Model 3 Base,"6,000 mi.","$31,500",,,,"Los Angeles, CA"
Used,2022 Tesla Model 3 Long Range,"26,451 mi.","$35,355",,EV Battery Rating | Excellent,Hertz Car Sales San Antonio North East,"Live Oak, TX"
Used,2020 Tesla Model 3 Performance,"38,500 mi.","$31,999",,,,"Calabasas, CA"
Used,2018 Tesla Model 3 Performance,"52,386 mi.","$32,900",,,,"Santa Monica, CA"
Used,2021 Tesla Model 3 Performance,"11,553 mi.","$40,000",,,,"Long Beach, CA"
Used,2016 Tesla Model S P100D,"40,600 mi.","$35,000",,,,"Logansport, IN"
Used,2019 Tesla Model 3 Standard Range Plus,"40,000 mi.","$26,000",,,,"Van Nuys, CA"
Used,2018 Tesla Model S 75D,"50,633 mi.","$31,000",,,,"Alameda, CA"
Used,2023 Tesla Model 3 Base,"11,640 mi.","$33,500",,,,"San Jose, CA"
Used,2016 Tesla Model X 75D,"115,000 mi.","$38,900",,,,"North Port, FL"
Used,2022 Tesla Model 3 Base,"15,842 mi.","$33,000",,,,"Los Angeles, CA"
Used,2018 Tesla Model X 75D,"10,500 mi.","$48,888",,,,"Milpitas, CA"
Used,2015 Tesla Model S 70D,"97,000 mi.","$32,000",,,,"Aurora, CO"
Used,2018 Tesla Model 3 Long Range,"64,250 mi.","$29,000",,,,"Diberville, MS"
Used,2023 Tesla Model 3 Base,"2,500 mi.","$33,000",,,,"Plano, TX"
Used,2020 Tesla Model 3 Long Range,"43,000 mi.","$29,000",,,,"Aurora, IL"
Used,2016 Tesla Model S P100D,"66,500 mi.","$43,000",,,,"Daly City, CA"
Used,2016 Tesla Model X P90D,"68,279 mi.","$41,500",,,,"Olathe, KS"
Used,2018 Tesla Model X 75D,"58,591 mi.","$26,900",,,,"Windsor, CT"
Used,2021 Tesla Model 3 Standard Range Plus,"87,000 mi.","$20,000",,,,"Marietta, GA"
Used,2019 Tesla Model 3 Standard Range,"31,649 mi.","$22,999",,,,"Los Angeles, CA"
Used,2020 Tesla Model S Performance,"44,000 mi.","$41,900",,,,"Fort Walton Beach, FL"
Used,2015 Tesla Model S 85D,"99,800 mi.","$21,233",,,,"Saint Paul, MN"
Used,2021 Tesla Model 3 Standard Range Plus,"42,000 mi.","$28,500",,,,"Fort Collins, CO"
Used,2016 Tesla Model S 75D,"74,740 mi.","$36,700",,,,"Comstock Park, MI"
Used,2022 Tesla Model 3 Long Range,"12,852 mi.","$33,291",,,Sun Toyota,"Holiday, FL"
Used,2020 Tesla Model X Long Range Plus,"43,000 mi.","$60,000",,,,"Winston Salem, NC"
Used,2022 Tesla Model 3 Long Range,"48,884 mi.",Not Priced,,,Joseph Buick GMC Trucks,"Cincinnati, OH"
Used,2018 Tesla Model 3 Long Range,"62,084 mi.","$21,980",,,Karplus Warehouse Inc.,"Pacoima, CA"
Used,2023 Tesla Model 3 Performance,"7,947 mi.","$48,881",,,Toyota Sunnyvale,"Sunnyvale, CA"
Used,2020 Tesla Model 3 Long Range,"65,118 mi.","$31,881",,,Toyota Sunnyvale,"Sunnyvale, CA"
Used,2021 Tesla Model 3 Standard Range Plus,"28,860 mi.","$32,998",,,CarMax Bradenton - Offering Express Pickup and Home Delivery,"Bradenton, FL"
Used,2017 Tesla Model S 75,"86,445 mi.","$18,999",,,CarVision of Maple Shade,"Maple Shade, NJ"
Used,2022 Tesla Model 3 Base,"14,268 mi.",Not Priced,,,Wood Nissan of Kansas City,"Lee's Summit, MO"
Used,2018 Tesla Model 3 Long Range,"43,859 mi.",Not Priced,,,Fairly Reliable Bob's,"Boise, ID"
Used,2017 Tesla Model S 75D,"136,541 mi.","$16,977",,,Auto Showcase of Carol Stream,"Carol Stream, IL"
Used,2023 Tesla Model 3 Base,"24,922 mi.","$26,831",,,Hertz Car Sales Inglewood,"Inglewood, CA"
Used,2021 Tesla Model 3 Standard Range Plus,"44,724 mi.","$30,998",,,CarMax Chattanooga - Offering Express Pickup and Home Delivery,"Chattanooga, TN"
Used,2020 Tesla Model 3 Standard Range,"48,567 mi.","$26,998",,,CarMax Beaverton - Offering Express Pickup and Home Delivery,"Beaverton, OR"
Used,2023 Tesla Model 3 Base,"28,465 mi.","$26,474",,,Hertz Car Sales Phoenix Bell Rd,"Phoenix, AZ"
Used,2021 Tesla Model 3 Standard Range Plus,"60,798 mi.",Not Priced,,,Town North Nissan,"Austin, TX"
Used,2019 Tesla Model S 100D,"41,812 mi.","$41,987",,EV Battery Rating | Excellent,Bates Ford,"Lebanon, TN"
Used,2019 Tesla Model 3 Long Range,"18,654 mi.","$34,990",,EV Battery Rating | Excellent,Summit Auto Center,"Summit, IL"
Used,2023 Tesla Model 3 Base,"17,000 mi.","$22,800",,,,"Inver Grove Heights, MN"
Used,2015 Tesla Model S P85D,"70,059 mi.","$40,000",,,,"Port Orchard, WA"
Used,2014 Tesla Model S Base,"104,136 mi.","$21,999",,EV Battery Rating | Excellent,Express Motors,"Dayton, OH"
Used,2021 Tesla Model 3 Long Range,"33,523 mi.","$31,529",,,,"Waco, TX"
Used,2019 Tesla Model 3 Standard Range Plus,"65,200 mi.","$22,500",,,,"Moorpark, CA"
Used,2023 Tesla Model 3 Base,"20,500 mi.","$40,000",,,,"Newark, NJ"
Used,2023 Tesla Model 3 Base,"4,800 mi.","$29,900",,,,"Mckinney, TX"
Used,2022 Tesla Model X Long Range,"19,096 mi.","$90,000",,,,"Los Angeles, CA"
Used,2021 Tesla Model 3 Long Range,"27,750 mi.","$29,000",,,,"Zionsville, IN"
Used,2013 Tesla Model S Performance,"164,000 mi.","$16,000",,,,"Lexington, SC"
Used,2021 Tesla Model S Plaid,"36,552 mi.","$60,000",,,,"Long Branch, NJ"
Used,2014 Tesla Model S 85,"157,000 mi.","$21,000",,,,"West Palm Beach, FL"
Used,2022 Tesla Model 3 Long Range,"34,000 mi.","$29,800",,,,"Brooklyn, NY"
Used,2021 Tesla Model S Plaid,"29,000 mi.","$69,999",,,,"Hartford, CT"
Used,2020 Tesla Model 3 Long Range,"28,784 mi.","$40,000",,,,"Valley Stream, NY"
Used,2018 Tesla Model 3 Long Range,"96,500 mi.","$22,500",,,,"Centreville, VA"
Used,2018 Tesla Model 3 Long Range,"89,106 mi.","$26,000",,,,"Seaford, NY"
Used,2021 Tesla Model S Long Range,"24,485 mi.","$58,995",,,,"Orlando, FL"
Used,2018 Tesla Model 3 Long Range,"89,106 mi.","$26,000",,,,"Seaford, NY"
Used,2017 Tesla Model X 75D,"103,000 mi.","$35,000",,,,"Angier, NC"
Used,2013 Tesla Model S Performance,"164,000 mi.","$16,000",,,,"Lexington, SC"
Used,2014 Tesla Model S 85,"157,000 mi.","$21,000",,,,"West Palm Beach, FL"
Used,2023 Tesla Model 3 Performance,"10,500 mi.","$44,700",,,,"Sacramento, CA"
Used,2016 Tesla Model S 90D,"48,806 mi.","$28,000",,,,"Granite Bay, CA"
Used,2020 Tesla Model 3 Long Range,"45,000 mi.","$28,950",,,,"Portland, OR"
Used,2019 Tesla Model 3 Standard Range Plus,"49,452 mi.","$25,900",,,,"San Diego, CA"
Used,2016 Tesla Model S 75,"123,873 mi.","$24,000",,,,"Houston, TX"
Used,2018 Tesla Model 3 Long Range,"89,821 mi.","$22,900",,,,"Glendale, CA"
Used,2018 Tesla Model X P100D,"45,000 mi.","$50,000",,,,"Redondo Beach, CA"
Used,2021 Tesla Model 3 Performance,"58,449 mi.","$27,990",,,,"Union, NJ"
Used,2018 Tesla Model 3 Long Range,"63,265 mi.","$24,900",,,,"Wayne, NJ"
Used,2016 Tesla Model S 90D,"95,293 mi.","$35,000",,,,"Peoria, AZ"
Used,2018 Tesla Model X 75D,"86,000 mi.","$32,500",,,,"Danbury, CT"
Used,2023 Tesla Model 3 Base,"26,046 mi.",Not Priced,,,Bill Luke Tempe,"Tempe, AZ"
Used,2017 Tesla Model X 75D,"73,461 mi.","$26,999",,,CarVision of Maple Shade,"Maple Shade, NJ"
Used,2024 Tesla Cybertruck,165 mi.,"$189,995",,,Silicon Valley Enthusiast,"Campbell, CA"
Used,2023 Tesla Model 3 Base,"5,269 mi.","$28,791",,,Sun Toyota,"Holiday, FL"
Used,2016 Tesla Model S 90D,"33,331 mi.","$26,500",,,Auto Boutique Texas,"Alvin, TX"
Used,2022 Tesla Model 3 Long Range,"56,290 mi.","$28,053",,,Gettel Stadium Toyota,"Tampa, FL"
Used,2023 Tesla Model 3 Base,"16,416 mi.","$27,728",,,Hertz Car Sales Inglewood,"Inglewood, CA"
Used,2018 Tesla Model 3 Long Range,"43,093 mi.","$26,799",,,AutoNation USA Denver 104,"Northglenn, CO"
Used,2023 Tesla Model 3 Base,"1,997 mi.","$35,987",,,Bates Ford,"Lebanon, TN"
Used,2021 Tesla Model 3 Long Range,"27,757 mi.","$32,995",,,Sam Leman Mazda,"Bloomington, IL"
Used,2019 Tesla Model 3 Performance,"90,917 mi.",Not Priced,,,J & S Autohaus,"Ewing, NJ"
Used,2019 Tesla Model X Performance,"76,187 mi.","$38,999",,,Premium Autos,"Norco, CA"
Used,2022 Tesla Model 3 Long Range,"81,414 mi.","$21,817",,,Hertz Car Sales Inglewood,"Inglewood, CA"
Used,2017 Tesla Model S 75,"55,901 mi.","$23,995",,,Victory Chevrolet GMC Paola,"Paola, KS"
Used,2022 Tesla Model 3 Performance,"15,853 mi.","$31,999",,,Premier Automotive,"Dumfries, VA"
Used,2021 Tesla Model 3 Standard Range Plus,"24,032 mi.","$20,999",,,Premier Automotive,"Dumfries, VA"
Used,2017 Tesla Model X 75D,"96,552 mi.","$26,995",,,Highline Auto Sales,"Willowbrook, IL"
Used,2017 Tesla Model S 75D,"87,771 mi.","$24,998",,,Century Auto,"Daly City, CA"
Used,2014 Tesla Model S 85,"101,000 mi.","$20,000",,,,"Delaware, OH"
Used,2022 Tesla Model 3 Long Range,"45,000 mi.","$48,000",,,,"Columbia, MO"
Used,2016 Tesla Model S 75,"131,913 mi.","$29,998",,,,"Tustin, CA"
Used,2022 Tesla Model 3 Standard Range,"30,326 mi.",Not Priced,,EV Battery Rating | Excellent,LA City Cars,"Inglewood, CA"
Used,2017 Tesla Model S 60D,"141,594 mi.","$18,900",,EV Battery Rating | Excellent,Best Western Motors,"Phoenix, AZ"
Used,2022 Tesla Model 3 Base,"6,000 mi.","$32,200",,,,"Coppell, TX"
Used,2018 Tesla Model S 75D,"88,517 mi.","$22,000",,,,"Irvine, CA"
Used,2017 Tesla Model X 100D,"58,641 mi.","$28,000",,,,"Los Angeles, CA"
Used,2022 Tesla Model 3 Long Range,"8,500 mi.","$34,500",,,,"Middleton, WI"
Used,2020 Tesla Model 3 Standard Range,"55,000 mi.","$27,500",,,,"Little Falls, NJ"
Used,2023 Tesla Model 3 Base,"17,745 mi.","$29,988",,EV Battery Rating | Excellent,Landmark Dodge Chrysler Jeep Ram,"Independence, MO"
Used,2015 Tesla Model S 85D,"115,000 mi.","$29,990",,,,"San Diego, CA"
Used,2018 Tesla Model S 75D,"42,801 mi.","$38,000",,,,"Cerritos, CA"
Used,2013 Tesla Model S Base,"156,500 mi.","$22,999",,,,"Oklahoma City, OK"
Used,2023 Tesla Model 3 Base,"23,260 mi.","$34,750",,,,"West Palm Beach, FL"
Used,2016 Tesla Model X 75D,"82,000 mi.","$32,000",,,,"San Jose, CA"
Used,2023 Tesla Model 3 Base,"14,070 mi.","$34,000",,,,"Boise, ID"
Used,2021 Tesla Model 3 Long Range,"45,445 mi.","$49,000",,,,"Dyer, IN"
Used,2013 Tesla Model S Base,"106,500 mi.","$13,500",,,,"Sacramento, CA"
Used,2019 Tesla Model 3 Long Range,"131,000 mi.","$26,000",,,,"Brentwood, CA"
Used,2016 Tesla Model X 75D,"75,555 mi.","$29,900",,,,"San Jose, CA"
Used,2014 Tesla Model S Performance,"67,500 mi.","$23,500",,,,"Moreno Valley, CA"
Used,2016 Tesla Model S 90D,"112,797 mi.","$28,000",,,,"Sarasota, FL"
Used,2020 Tesla Model S Performance,"31,627 mi.","$54,999",,,,"Boca Raton, FL"
Used,2022 Tesla Model 3 Performance,"9,095 mi.","$43,999",,,,"Ossining, NY"
Used,2016 Tesla Model S P100D,"24,000 mi.","$49,999",,,,"Old Forge, PA"
